"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Race and Hispanic,,,,,,Age of woman,,,,,,,,,,,
origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
2003,,,141.2 ,4.5 ,130.9 ,83.7 ,204.3 ,265.0 ,217.2 ,146.2 ,74.2 ,19.0 ,,,,,
2002,,,143.0 ,5.0 ,138.2 ,88.1 ,215.7 ,272.5 ,217.8 ,144.3 ,72.6 ,19.0 ,,,,,
2001,,,146.2 ,5.5 ,148.0 ,94.8 ,228.2 ,284.0 ,218.5 ,144.4 ,72.4 ,18.3 ,,,,,
2000,,,151.0 ,6.2 ,160.5 ,106.2 ,239.9 ,301.4 ,218.5 ,144.1 ,72.2 ,18.3 ,,,,,
1999,,,148.0 ,6.4 ,161.9 ,106.4 ,242.9 ,298.9 ,214.6 ,134.8 ,70.3 ,16.9 ,,,,,
1998,,,148.7 ,7.0 ,168.4 ,114.5 ,247.8 ,299.1 ,213.4 ,133.5 ,69.1 ,17.0 ,,,,,
1997,,,148.9 ,7.6 ,174.7 ,121.3 ,257.3 ,296.7 ,210.2 ,132.0 ,68.0 ,16.7 ,,,,,
1996,,,150.5 ,8.6 ,182.2 ,129.7 ,264.0 ,297.1 ,209.3 ,130.9 ,67.1 ,16.3 ,,,,,
1995,,,151.3 ,9.6 ,189.6 ,139.4 ,268.4 ,291.7 ,205.3 ,130.8 ,66.3 ,15.8 ,,,,,
1994,,,161.7 ,10.9 ,207.3 ,152.9 ,292.2 ,313.3 ,215.4 ,134.7 ,67.6 ,15.8 ,,,,,
1993,,,170.6 ,11.1 ,219.0 ,161.9 ,305.1 ,331.5 ,224.7 ,139.3 ,68.9 ,15.8 ,,,,,
1992,,,175.2 ,11.5 ,226.0 ,165.2 ,314.8 ,339.3 ,228.8 ,139.6 ,68.7 ,15.2 ,,,,,
1991,,,177.9 ,11.7 ,231.8 ,170.5 ,316.0 ,342.1 ,228.8 ,139.2 ,67.6 ,15.1 ,,,,,
1990,,,181.8 ,12.2 ,232.7 ,172.0 ,312.6 ,340.2 ,232.7 ,141.7 ,68.0 ,15.3 ,,,,,
Live births:,,,,,,,,,,,,,,,,,
2010,,,66.6 ,1.0 ,51.5 ,27.4 ,85.6 ,119.4 ,102.5 ,73.6 ,36.4 ,10.0 ,,,,,
2009,,,68.9 ,1.1 ,56.8 ,31.0 ,93.5 ,125.9 ,106.0 ,73.9 ,36.1 ,9.5 ,,,,,
2008,,,70.8 ,1.4 ,60.4 ,33.6 ,100.0 ,131.5 ,108.8 ,75.3 ,36.3 ,9.3 ,,,,,
2007,,,71.4 ,1.4 ,62.0 ,34.6 ,105.2 ,134.5 ,110.5 ,74.7 ,36.2 ,9.2 ,,,,,
2006,,,70.7 ,1.5 ,61.9 ,38.1 ,105.0 ,134.4 ,110.0 ,73.2 ,35.9 ,8.8 ,,,,,
2005,,,67.2 ,1.6 ,59.4 ,34.1 ,100.2 ,127.9 ,105.5 ,68.8 ,34.2 ,8.7 ,,,,,
2004,,,67.1 ,1.6 ,61.8 ,36.4 ,101.5 ,127.8 ,104.9 ,67.8 ,33.6 ,8.2 ,,,,,
2003,,,67.1 ,1.6 ,63.7 ,38.2 ,103.4 ,128.8 ,103.9 ,67.7 ,33.4 ,8.1 ,,,,,
2002,,,67.5 ,1.9 ,67.7 ,40.6 ,109.5 ,131.4 ,103.1 ,66.5 ,32.1 ,7.9 ,,,,,
2001,,,69.1 ,2.1 ,73.1 ,44.8 ,115.8 ,137.3 ,102.7 ,66.4 ,32.0 ,7.6 ,,,,,
2000,,,71.4 ,2.4 ,79.2 ,50.1 ,121.9 ,145.4 ,102.8 ,66.5 ,31.8 ,7.5 ,,,,,
1999,,,69.9 ,2.6 ,81.0 ,51.7 ,123.9 ,142.1 ,99.8 ,63.9 ,30.6 ,6.8 ,,,,,
1998,,,70.9 ,2.9 ,85.7 ,56.8 ,128.2 ,142.5 ,99.9 ,64.4 ,30.4 ,6.9 ,,,,,
1997,,,70.3 ,3.2 ,88.3 ,60.7 ,131.0 ,138.8 ,97.2 ,63.6 ,29.6 ,6.8 ,,,,,
1996,,,70.7 ,3.6 ,91.9 ,64.8 ,134.1 ,137.0 ,96.7 ,63.2 ,29.1 ,6.4 ,,,,,
1995,,,72.8 ,4.2 ,97.2 ,70.4 ,139.2 ,137.8 ,98.5 ,64.4 ,28.8 ,6.3 ,,,,,
1994,,,77.5 ,4.6 ,105.7 ,77.0 ,150.4 ,146.8 ,104.1 ,66.3 ,29.1 ,6.2 ,,,,,
1993,,,81.5 ,4.6 ,110.5 ,81.1 ,154.6 ,154.5 ,109.2 ,68.1 ,29.4 ,6.1 ,,,,,
1992,,,84.5 ,4.8 ,114.7 ,82.9 ,161.0 ,160.8 ,112.8 ,68.4 ,29.1 ,5.8 ,,,,,
1991,,,87.0 ,4.9 ,118.2 ,86.1 ,162.2 ,164.8 ,115.1 ,68.9 ,28.7 ,5.7 ,,,,,
1990,,,89.0 ,5.0 ,116.2 ,84.9 ,157.5 ,165.2 ,118.3 ,70.2 ,28.6 ,5.8 ,,,,,
Induced abortions:,,,,,,,,,,,,,,,,,
2010,,,47.7 ,1.7 ,36.8 ,22.1 ,57.6 ,90.2 ,74.4 ,48.4 ,23.4 ,6.6 ,,,,,
2009,,,49.8 ,1.8 ,40.3 ,24.8 ,62.4 ,93.8 ,78.7 ,50.4 ,24.0 ,6.6 ,,,,,
2008,,,51.5 ,2.0 ,43.4 ,26.7 ,68.2 ,97.7 ,80.1 ,52.0 ,25.0 ,6.9 ,,,,,
2007,,,50.6 ,2.1 ,43.1 ,26.8 ,68.8 ,96.7 ,79.8 ,50.5 ,24.5 ,6.8 ,,,,,
2006,,,52.7 ,2.0 ,45.2 ,28.3 ,72.5 ,100.4 ,85.1 ,52.7 ,25.4 ,6.9 ,,,,,
2005,,,51.8 ,2.2 ,44.9 ,28.3 ,71.5 ,98.3 ,84.5 ,51.5 ,24.5 ,7.0 ,,,,,
2004,,,52.2 ,2.2 ,46.4 ,29.6 ,72.6 ,100.6 ,85.0 ,50.8 ,23.8 ,7.0 ,,,,,
2003,,,53.1 ,2.4 ,48.1 ,31.2 ,74.4 ,104.6 ,87.2 ,51.0 ,22.7 ,6.5 ,,,,,
2002,,,54.4 ,2.4 ,50.2 ,32.2 ,78.1 ,108.8 ,88.8 ,50.9 ,23.1 ,6.8 ,,,,,
2001,,,55.5 ,2.6 ,53.0 ,33.3 ,82.7 ,113.0 ,90.0 ,51.1 ,22.9 ,6.5 ,,,,,
2000,,,57.4 ,2.9 ,57.4 ,37.3 ,86.8 ,120.2 ,89.9 ,50.7 ,23.0 ,6.6 ,,,,,
1999,,,57.2 ,3.0 ,58.1 ,36.7 ,89.4 ,120.8 ,90.3 ,49.0 ,22.7 ,6.3 ,,,,,
1998,,,56.5 ,3.2 ,58.6 ,38.0 ,89.0 ,120.3 ,89.0 ,47.0 ,21.9 ,6.2 ,,,,,
1997,,,57.5 ,3.2 ,61.3 ,39.5 ,95.0 ,122.7 ,89.3 ,46.6 ,22.0 ,6.2 ,,,,,
1996,,,58.6 ,3.8 ,64.1 ,42.4 ,97.9 ,125.3 ,88.9 ,46.1 ,21.9 ,6.4 ,,,,,
1995,,,56.7 ,3.9 ,64.6 ,44.6 ,96.0 ,118.9 ,82.8 ,44.3 ,21.4 ,6.1 ,,,,,
1994,,,61.1 ,4.6 ,71.2 ,49.1 ,105.8 ,129.2 ,85.9 ,45.7 ,22.3 ,6.2 ,,,,,
1993,,,65.0 ,4.8 ,76.9 ,52.6 ,113.5 ,137.7 ,88.8 ,47.9 ,23.1 ,6.3 ,,,,,
1992,,,65.9 ,5.1 ,78.6 ,53.5 ,115.2 ,137.6 ,88.4 ,47.7 ,23.4 ,6.2 ,,,,,
1991,,,65.5 ,5.1 ,80.0 ,54.5 ,115.0 ,135.4 ,85.4 ,46.8 ,22.9 ,6.2 ,,,,,
1990,,,67.0 ,5.4 ,83.5 ,57.7 ,117.4 ,133.1 ,85.4 ,47.5 ,23.5 ,6.4 ,,,,,
Fetal losses 5/:,,,,,,,,,,,,,,,,,
2010,,,20.9 ,0.4 ,15.1 ,10.3 ,21.9 ,29.3 ,25.7 ,29.8 ,19.8 ,5.4 ,,,,,
2009,,,21.5 ,0.4 ,16.7 ,11.6 ,24.0 ,31.0 ,26.6 ,29.9 ,19.7 ,5.2 ,,,,,
2008,,,22.1 ,0.5 ,17.8 ,12.6 ,25.6 ,32.3 ,27.3 ,30.5 ,19.8 ,5.1 ,,,,,
2007,,,22.2 ,0.5 ,18.4 ,13.0 ,26.9 ,33.1 ,27.7 ,30.2 ,19.7 ,5.0 ,,,,,
2006,,,22.1 ,0.6 ,19.1 ,14.3 ,26.9 ,33.0 ,27.6 ,29.6 ,19.5 ,4.8 ,,,,,
2005,,,21.0 ,0.6 ,17.7 ,12.8 ,25.7 ,31.4 ,26.4 ,27.9 ,18.6 ,4.7 ,,,,,
2004,,,21.0 ,0.6 ,18.5 ,13.7 ,26.0 ,31.4 ,26.3 ,27.4 ,18.3 ,4.5 ,,,,,
2003,,,21.0 ,0.6 ,19.1 ,14.3 ,26.5 ,31.6 ,26.1 ,27.4 ,18.2 ,4.4 ,,,,,
2002,,,21.1 ,0.7 ,20.3 ,15.2 ,28.1 ,32.3 ,25.9 ,26.9 ,17.5 ,4.3 ,,,,,
2001,,,21.6 ,0.8 ,21.9 ,16.8 ,29.7 ,33.8 ,25.8 ,26.9 ,17.4 ,4.1 ,,,,,
2000,,,22.2 ,0.9 ,23.8 ,18.8 ,31.2 ,35.7 ,25.8 ,26.9 ,17.3 ,4.1 ,,,,,
1999,,,20.9 ,0.9 ,22.7 ,18.0 ,29.6 ,36.1 ,24.4 ,21.9 ,17.0 ,3.8 ,,,,,
1998,,,21.3 ,1.0 ,24.1 ,19.7 ,30.7 ,36.2 ,24.5 ,22.1 ,16.9 ,3.9 ,,,,,
1997,,,21.1 ,1.1 ,25.1 ,21.1 ,31.3 ,35.3 ,23.8 ,21.8 ,16.4 ,3.8 ,,,,,
1996,,,21.2 ,1.3 ,26.2 ,22.5 ,32.1 ,34.8 ,23.7 ,21.6 ,16.2 ,3.5 ,,,,,
1995,,,21.8 ,1.5 ,27.9 ,24.4 ,33.3 ,35.0 ,24.1 ,22.0 ,16.0 ,3.5 ,,,,,
1994,,,23.1 ,1.6 ,30.4 ,26.8 ,36.0 ,37.3 ,25.5 ,22.7 ,16.2 ,3.4 ,,,,,
1993,,,24.1 ,1.6 ,31.7 ,28.2 ,37.0 ,39.3 ,26.7 ,23.3 ,16.4 ,3.4 ,,,,,
1992,,,24.8 ,1.7 ,32.7 ,28.8 ,38.5 ,40.9 ,27.6 ,23.4 ,16.2 ,3.2 ,,,,,
1991,,,25.4 ,1.7 ,33.7 ,29.9 ,38.8 ,41.9 ,28.2 ,23.6 ,16.0 ,3.2 ,,,,,
1990,,,25.8 ,1.7 ,33.0 ,29.5 ,37.7 ,42.0 ,29.0 ,24.0 ,15.9 ,3.2 ,,,,,
"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Pregnancy outcome, race, and",,,,,,Age of woman,,,,,,,,,,,
Hispanic origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
,,,Total 1/,years 2/,Total,years,years,years,years,years,years,years 3/,,,,,
Hispanic  6/,,,,,,,,,,,,,,,,,
All pregnancies:,,,,,,,,,,,,,,,,,
2010,,,118.4 ,1.6 ,87.7 ,53.0 ,139.5 ,188.7 ,173.2 ,136.8 ,83.0 ,23.3 ,,,,,
2009,,,127.6 ,1.9 ,100.1 ,61.1 ,158.9 ,208.2 ,185.7 ,142.7 ,84.3 ,23.9 ,,,,,
2008,,,136.9 ,2.2 ,111.5 ,69.7 ,176.4 ,229.5 ,197.1 ,149.2 ,87.2 ,23.9 ,,,,,
2007,,,143.7 ,2.2 ,119.9 ,74.1 ,193.3 ,243.3 ,206.7 ,153.4 ,89.0 ,23.8 ,,,,,
2006,,,146.2 ,2.4 ,123.5 ,75.4 ,199.7 ,248.8 ,209.6 ,153.4 ,88.8 ,24.0 ,,,,,
2005,,,143.3 ,2.4 ,122.3 ,76.6 ,193.6 ,240.9 ,205.1 ,150.4 ,86.5 ,23.2 ,,,,,
2004,,,143.9 ,2.4 ,127.1 ,80.2 ,198.5 ,241.9 ,203.4 ,148.5 ,85.4 ,22.7 ,,,,,
2003,,,144.2 ,2.5 ,127.5 ,80.6 ,198.4 ,243.2 ,203.6 ,147.3 ,83.2 ,23.0 ,,,,,
2002,,,144.8 ,2.7 ,131.8 ,83.9 ,203.0 ,245.6 ,201.8 ,144.6 ,81.9 ,22.6 ,,,,,
2001,,,145.9 ,3.0 ,137.7 ,87.9 ,209.4 ,247.5 ,200.6 ,143.9 ,80.7 ,22.2 ,,,,,
2000,,,147.5 ,3.3 ,143.9 ,94.8 ,213.9 ,250.3 ,200.8 ,143.3 ,78.8 ,21.8 ,,,,,
1999,,,143.5 ,3.5 ,143.2 ,97.0 ,209.6 ,241.1 ,198.6 ,136.4 ,75.9 ,20.4 ,,,,,
1998,,,143.9 ,3.8 ,146.3 ,100.3 ,214.5 ,243.2 ,199.1 ,133.7 ,74.2 ,20.6 ,,,,,
1997,,,144.3 ,4.0 ,147.7 ,102.6 ,215.5 ,245.8 ,199.9 ,131.6 ,73.6 ,20.5 ,,,,,
1996,,,149.4 ,4.4 ,157.1 ,109.4 ,228.4 ,256.5 ,204.4 ,134.0 ,74.9 ,20.3 ,,,,,
1995,,,151.2 ,4.7 ,163.3 ,115.5 ,234.2 ,259.6 ,203.2 ,133.4 ,74.8 ,20.5 ,,,,,
1994,,,156.6 ,4.9 ,169.0 ,120.3 ,240.7 ,270.1 ,208.8 ,136.5 ,75.8 ,21.1 ,,,,,
1993,,,160.6 ,4.9 ,170.3 ,117.8 ,247.9 ,277.3 ,213.8 ,139.9 ,76.6 ,20.8 ,,,,,
1992,,,166.2 ,4.9 ,174.0 ,119.7 ,253.9 ,286.6 ,219.3 ,144.1 ,80.1 ,21.7 ,,,,,
1991,,,164.1 ,4.6 ,173.7 ,117.4 ,254.3 ,279.5 ,217.0 ,141.3 ,77.3 ,20.6 ,,,,,
1990,,,164.2 ,4.4 ,167.4 ,113.0 ,242.4 ,271.2 ,219.3 ,145.4 ,78.1 ,21.0 ,,,,,
Live births:,,,,,,,,,,,,,,,,,
2010,,,80.2 ,0.8 ,55.7 ,32.3 ,90.7 ,126.1 ,125.3 ,96.6 ,51.7 ,13.7 ,,,,,
2009,,,86.5 ,1.0 ,63.6 ,37.3 ,103.3 ,140.1 ,134.3 ,100.8 ,52.5 ,14.0 ,,,,,
2008,,,92.7 ,1.1 ,70.3 ,42.2 ,114.0 ,154.1 ,142.3 ,105.3 ,54.0 ,14.0 ,,,,,
2007,,,97.4 ,1.2 ,75.3 ,44.4 ,124.7 ,164.6 ,149.5 ,108.5 ,55.0 ,13.8 ,,,,,
2006,,,98.3 ,1.2 ,77.4 ,45.1 ,128.7 ,166.7 ,149.9 ,107.5 ,54.6 ,13.7 ,,,,,
2005,,,96.4 ,1.3 ,76.5 ,45.8 ,124.4 ,161.1 ,147.0 ,105.6 ,53.3 ,13.4 ,,,,,
2004,,,95.7 ,1.2 ,78.1 ,47.3 ,124.8 ,159.2 ,144.7 ,103.4 ,52.2 ,12.9 ,,,,,
2003,,,95.2 ,1.3 ,78.4 ,47.6 ,124.8 ,159.1 ,144.0 ,101.5 ,50.1 ,12.7 ,,,,,
2002,,,94.7 ,1.4 ,80.6 ,49.3 ,127.1 ,159.0 ,141.6 ,98.3 ,48.8 ,12.3 ,,,,,
2001,,,95.4 ,1.5 ,84.4 ,51.9 ,131.3 ,160.5 ,140.8 ,97.8 ,47.9 ,12.1 ,,,,,
2000,,,95.9 ,1.7 ,87.3 ,55.5 ,132.6 ,161.3 ,139.9 ,97.1 ,46.6 ,12.0 ,,,,,
1999,,,93.0 ,1.9 ,86.8 ,56.9 ,129.5 ,157.3 ,135.8 ,92.3 ,44.5 ,11.1 ,,,,,
1998,,,93.2 ,1.9 ,87.9 ,58.5 ,131.5 ,159.3 ,136.1 ,90.5 ,43.4 ,11.3 ,,,,,
1997,,,94.2 ,2.1 ,89.6 ,61.1 ,132.4 ,162.6 ,137.5 ,89.6 ,43.4 ,11.2 ,,,,,
1996,,,97.5 ,2.4 ,94.6 ,64.2 ,140.0 ,170.2 ,140.7 ,91.3 ,43.9 ,11.2 ,,,,,
1995,,,98.8 ,2.6 ,99.3 ,68.3 ,145.4 ,171.9 ,140.4 ,90.5 ,43.7 ,11.2 ,,,,,
1994,,,100.7 ,2.6 ,101.3 ,69.9 ,147.5 ,175.7 ,142.4 ,91.1 ,43.4 ,11.1 ,,,,,
1993,,,103.3 ,2.6 ,101.8 ,68.5 ,151.1 ,180.0 ,146.0 ,93.2 ,44.1 ,11.1 ,,,,,
1992,,,106.1 ,2.5 ,103.3 ,68.9 ,153.8 ,185.1 ,148.7 ,94.7 ,45.3 ,11.4 ,,,,,
1991,,,106.9 ,2.4 ,104.6 ,69.2 ,155.4 ,184.6 ,149.9 ,95.0 ,44.7 ,11.1 ,,,,,
1990,,,107.6 ,2.4 ,100.2 ,65.8 ,147.6 ,180.8 ,152.8 ,98.1 ,45.2 ,11.4 ,,,,,
Induced abortions:,,,,,,,,,,,,,,,,,
2010,,,20.3 ,0.5 ,15.4 ,8.6 ,25.5 ,38.8 ,29.7 ,19.4 ,10.9 ,4.2 ,,,,,
2009,,,21.8 ,0.6 ,17.5 ,9.8 ,29.1 ,41.7 ,31.9 ,20.3 ,11.2 ,4.4 ,,,,,
2008,,,23.8 ,0.6 ,20.1 ,11.7 ,33.2 ,46.4 ,34.0 ,21.1 ,12.0 ,4.3 ,,,,,
2007,,,24.8 ,0.6 ,22.1 ,13.0 ,36.7 ,47.7 ,35.5 ,21.5 ,12.4 ,4.6 ,,,,,
2006,,,26.2 ,0.7 ,22.9 ,13.4 ,38.1 ,50.6 ,37.9 ,22.7 ,12.7 ,4.8 ,,,,,
2005,,,25.7 ,0.7 ,22.9 ,13.6 ,37.4 ,49.5 ,36.7 ,22.0 ,12.3 ,4.5 ,,,,,
2004,,,27.2 ,0.7 ,25.7 ,15.1 ,41.7 ,52.8 ,37.6 ,22.8 ,12.6 ,4.7 ,,,,,
2003,,,28.2 ,0.7 ,25.7 ,15.1 ,41.6 ,54.1 ,38.7 ,23.9 ,13.3 ,5.3 ,,,,,
2002,,,29.4 ,0.8 ,27.0 ,16.0 ,43.3 ,56.6 ,39.6 ,25.0 ,13.9 ,5.4 ,,,,,
2001,,,29.6 ,0.9 ,28.0 ,16.6 ,44.4 ,56.7 ,39.2 ,25.0 ,13.9 ,5.3 ,,,,,
2000,,,30.6 ,1.0 ,30.3 ,18.4 ,47.3 ,58.6 ,40.5 ,25.2 ,13.8 ,5.0 ,,,,,
1999,,,31.4 ,1.0 ,32.1 ,20.2 ,49.1 ,60.3 ,41.5 ,25.2 ,14.1 ,5.0 ,,,,,
1998,,,31.6 ,1.1 ,33.7 ,21.5 ,51.6 ,60.1 ,41.6 ,24.6 ,14.0 ,5.0 ,,,,,
1997,,,30.7 ,1.1 ,32.7 ,20.3 ,51.4 ,58.8 ,40.8 ,23.7 ,13.4 ,4.9 ,,,,,
1996,,,31.9 ,1.2 ,35.7 ,22.9 ,54.9 ,60.9 ,41.6 ,24.1 ,14.0 ,4.8 ,,,,,
1995,,,32.2 ,1.2 ,35.8 ,23.5 ,54.0 ,62.1 ,40.8 ,24.4 ,14.3 ,5.0 ,,,,,
1994,,,35.4 ,1.4 ,39.0 ,26.1 ,58.0 ,68.2 ,44.1 ,26.8 ,15.6 ,5.7 ,,,,,
1993,,,36.4 ,1.4 ,39.7 ,25.5 ,60.7 ,70.4 ,45.0 ,27.6 ,15.4 ,5.4 ,,,,,
1992,,,38.8 ,1.5 ,41.6 ,26.8 ,63.3 ,73.9 ,47.3 ,29.9 ,17.2 ,5.9 ,,,,,
1991,,,35.8 ,1.4 ,39.6 ,24.2 ,61.7 ,67.4 ,43.6 ,26.8 ,15.4 ,5.2 ,,,,,
1990,,,35.1 ,1.1 ,39.1 ,24.3 ,59.5 ,63.4 ,42.6 ,27.2 ,15.4 ,5.2 ,,,,,
Fetal losses 5/:,,,,,,,,,,,,,,,,,
2010,,,17.9 ,0.3 ,16.6 ,12.1 ,23.2 ,23.8 ,18.2 ,20.8 ,20.4 ,5.4 ,,,,,
2009,,,19.2 ,0.4 ,19.0 ,14.0 ,26.5 ,26.4 ,19.5 ,21.7 ,20.7 ,5.5 ,,,,,
2008,,,20.5 ,0.4 ,21.1 ,15.8 ,29.2 ,29.0 ,20.7 ,22.7 ,21.3 ,5.5 ,,,,,
2007,,,21.5 ,0.4 ,22.5 ,16.7 ,32.0 ,31.0 ,21.7 ,23.4 ,21.7 ,5.4 ,,,,,
2006,,,21.6 ,0.5 ,23.1 ,16.9 ,33.0 ,31.4 ,21.8 ,23.2 ,21.5 ,5.4 ,,,,,
2005,,,21.2 ,0.5 ,22.9 ,17.2 ,31.9 ,30.4 ,21.4 ,22.8 ,21.0 ,5.3 ,,,,,
2004,,,21.0 ,0.5 ,23.4 ,17.8 ,32.0 ,30.0 ,21.1 ,22.3 ,20.6 ,5.1 ,,,,,
2003,,,20.9 ,0.5 ,23.5 ,17.9 ,32.0 ,30.0 ,20.9 ,21.9 ,19.8 ,5.0 ,,,,,
2002,,,20.7 ,0.5 ,24.2 ,18.5 ,32.6 ,30.0 ,20.6 ,21.2 ,19.2 ,4.8 ,,,,,
2001,,,20.9 ,0.6 ,25.3 ,19.5 ,33.7 ,30.3 ,20.5 ,21.1 ,18.9 ,4.8 ,,,,,
2000,,,21.0 ,0.6 ,26.3 ,20.8 ,34.0 ,30.4 ,20.4 ,20.9 ,18.4 ,4.7 ,,,,,
1999,,,19.0 ,0.6 ,24.4 ,19.8 ,31.0 ,23.5 ,21.3 ,18.9 ,17.2 ,4.3 ,,,,,
1998,,,19.1 ,0.7 ,24.8 ,20.3 ,31.4 ,23.8 ,21.4 ,18.5 ,16.8 ,4.4 ,,,,,
1997,,,19.3 ,0.7 ,25.4 ,21.2 ,31.7 ,24.3 ,21.6 ,18.4 ,16.8 ,4.3 ,,,,,
1996,,,20.0 ,0.8 ,26.8 ,22.3 ,33.5 ,25.4 ,22.1 ,18.7 ,17.0 ,4.3 ,,,,,
1995,,,20.2 ,0.9 ,28.2 ,23.7 ,34.8 ,25.7 ,22.0 ,18.5 ,16.9 ,4.3 ,,,,,
1994,,,20.5 ,0.9 ,28.7 ,24.3 ,35.3 ,26.3 ,22.3 ,18.7 ,16.8 ,4.3 ,,,,,
1993,,,20.9 ,0.9 ,28.8 ,23.8 ,36.1 ,26.9 ,22.9 ,19.1 ,17.0 ,4.3 ,,,,,
1992,,,21.4 ,0.9 ,29.1 ,23.9 ,36.8 ,27.7 ,23.3 ,19.4 ,17.5 ,4.4 ,,,,,
1991,,,21.5 ,0.8 ,29.4 ,24.0 ,37.2 ,27.6 ,23.5 ,19.5 ,17.3 ,4.3 ,,,,,
1990,,,21.5 ,0.8 ,28.1 ,22.9 ,35.3 ,27.0 ,24.0 ,20.1 ,17.5 ,4.4 ,,,,,
,,,,,,,,,,,,,,,,,
1/ Rates computed by relating the number of events to women of all ages to women aged 15-44 years.,,,,,,,,,,,,,,,,,
2/ Rates computed by relating the number of events to women under age 15 years to women aged 10-14 years.,,,,,,,,,,,,,,,,,
3/ Rates computed by relating the number of events to women aged 40 years and over to women aged 40-44 years.,,,,,,,,,,,,,,,,,
4/ Includes races other than white and black and origin not stated.,,,,,,,,,,,,,,,,,
"5/ Spontaneous fetal losses from recognized pregnancies of all gestational periods as estimated from reports from women in the 1995, 2002, and 2006-2010 National Surveys of Family ",,,,,,,,,,,,,,,,,
Growth conducted by the National Center for Health Statistics. The rate of fetal loss depends on the degree to which losses at very early gestations are detected.,,,,,,,,,,,,,,,,,
6/ Includes all persons of Hispanic origin of any race.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NOTES: Due to sample size limitations in any given year, fetal loss proportions for teenagers for 1990-2010 are based on the 1988, 1995, 2002, and 2006-2010 National Surveys of ",,,,,,,,,,,,,,,,,
Family Growth. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
